seed,dimension,count,max_pair_dot,allowed_max_dot,passed
20260730,32,8,0.19592564346800362,0.6090796808099284,True
20260730,32,16,0.4080676010328966,0.563695043987551,True
20260730,32,32,0.5037083296027658,0.5183104071651735,True
20260730,32,64,0.5111982874442935,0.47292577034279626,False
20260730,32,128,0.6219486354986161,0.4275411335204188,False
20260730,32,256,0.6809068064651137,0.3821564966980414,False
20260730,32,512,0.6809068064651137,0.33677185987566416,False
20260730,32,1024,0.7297657148901834,0.2913872230532867,False
20260730,32,2048,0.7375480840373952,0.24600258623090943,False
20260730,32,4096,0.7942204508491826,0.20061794940853206,False
20260730,32,8192,0.7942204508491826,0.15523331258615458,False
20260730,48,8,0.27723450620759504,0.7002039093527411,True
20260730,48,16,0.32134133757328937,0.6699474848044895,True
20260730,48,32,0.3787972135878568,0.639691060256238,True
20260730,48,64,0.5319564161357334,0.6094346357079864,True
20260730,48,128,0.5534289778866736,0.5791782111597348,True
20260730,48,256,0.5534289778866736,0.5489217866114833,False
20260730,48,512,0.5936860141193457,0.5186653620632317,False
20260730,48,1024,0.6308258729743514,0.48840893751498005,False
20260730,48,2048,0.6604209878505769,0.45815251296672854,False
20260730,48,4096,0.6604209878505769,0.4278960884184769,False
20260730,48,8192,0.6847872192066394,0.3976396638702254,False
20260730,64,8,0.17057792477507377,0.7470513543703977,True
20260730,64,16,0.30824765110971153,0.724359035959209,True
20260730,64,32,0.3597587285063086,0.7016667175480205,True
20260730,64,64,0.36148725226813805,0.6789743991368317,True
20260730,64,128,0.46680542282951265,0.6562820807256431,True
20260730,64,256,0.46700119148824143,0.6335897623144543,True
20260730,64,512,0.5023388674094762,0.6108974439032656,True
20260730,64,1024,0.5475115393179419,0.588205125492077,True
20260730,64,2048,0.5577782423546246,0.5655128070808882,True
20260730,64,4096,0.5904412234389914,0.5428204886696997,False
20260730,64,8192,0.5904412234389914,0.5201281702585109,False
20260730,80,8,0.17201067621368704,0.7757232529147324,True
20260730,80,16,0.19741040284397798,0.7575693981857815,True
20260730,80,32,0.28085305483613104,0.7394155434568306,True
20260730,80,64,0.3594111534199052,0.7212616887278795,True
20260730,80,128,0.43832978513248344,0.7031078339989286,True
20260730,80,256,0.43832978513248344,0.6849539792699777,True
20260730,80,512,0.4931161306932286,0.6668001245410267,True
20260730,80,1024,0.4931161306932286,0.6486462698120757,True
20260730,80,2048,0.5206057325380122,0.6304924150831248,True
20260730,80,4096,0.5602476868419719,0.6123385603541739,True
20260730,80,8192,0.5602476868419719,0.594184705625223,True
20260731,32,8,0.42032070540219735,0.6090796808099284,True
20260731,32,16,0.4519650968560995,0.563695043987551,True
20260731,32,32,0.4658101774151712,0.5183104071651735,True
20260731,32,64,0.5123640011649382,0.47292577034279626,False
20260731,32,128,0.6310822466770492,0.4275411335204188,False
20260731,32,256,0.6370956359922337,0.3821564966980414,False
20260731,32,512,0.6678644633163592,0.33677185987566416,False
20260731,32,1024,0.7130523574698547,0.2913872230532867,False
20260731,32,2048,0.744187013494759,0.24600258623090943,False
20260731,32,4096,0.7541625336082098,0.20061794940853206,False
