seed,dimension,count,max_pair_dot,allowed_max_dot,separation_margin,separation_passed,algorithm_3_invariants
20260730,100,13,0.20864210990490265,0.7888778427631004,0.5802357328581977,True,True
20260730,140,69,0.28599180436698746,0.7940111125726605,0.5080193082056731,True,True
20260730,180,354,0.32757859856578386,0.7975887274635157,0.47001012889773186,True,True
20260730,220,1825,0.32031822811419797,0.799979994341413,0.479661766227215,True,True
20260730,260,9390,0.33656194434248055,0.8017416878355843,0.46517974349310376,True,True
20260731,100,13,0.25435245100766846,0.7888778427631004,0.5345253917554319,True,True
20260731,140,69,0.2966779760014291,0.7940111125726605,0.49733313657123146,True,True
20260731,180,354,0.31222177753674274,0.7975887274635157,0.485366949926773,True,True
20260731,220,1825,0.3088757729252501,0.799979994341413,0.4911042214161629,True,True
20260731,260,9390,0.3439788050025385,0.8017416878355843,0.4577628828330458,True,True
20260732,100,13,0.22009131397285014,0.7888778427631004,0.5687865287902503,True,True
20260732,140,69,0.34342462536174234,0.7940111125726605,0.4505864872109182,True,True
20260732,180,354,0.30716414006842413,0.7975887274635157,0.4904245873950916,True,True
20260732,220,1825,0.34840890468456526,0.799979994341413,0.4515710896568477,True,True
20260732,260,9390,0.3328900173917742,0.8017416878355843,0.4688516704438101,True,True
20260733,100,13,0.2064340645227509,0.7888778427631004,0.5824437782403494,True,True
20260733,140,69,0.2802359365323781,0.7940111125726605,0.5137751760402824,True,True
20260733,180,354,0.3164387987370069,0.7975887274635157,0.4811499287265088,True,True
20260733,220,1825,0.3279501440801164,0.799979994341413,0.47202985026129657,True,True
20260733,260,9390,0.3321087127529328,0.8017416878355843,0.4696329750826515,True,True
20260734,100,13,0.20708654449454847,0.7888778427631004,0.5817912982685519,True,True
20260734,140,69,0.2966453083917088,0.7940111125726605,0.4973658041809518,True,True
20260734,180,354,0.3160013501930172,0.7975887274635157,0.4815873772704985,True,True
20260734,220,1825,0.3099534581025192,0.799979994341413,0.4900265362388938,True,True
20260734,260,9390,0.3322123750174359,0.8017416878355843,0.4695293128181484,True,True
