"kind","seed","beta","radius_multiplier","iteration","mean_w2_error","ci_low","ci_high","below_1e-3_rate","below_1e-6_rate","nearest_target_rate"
"one_step",20260730,1.0,1,1,0.0018474957281479942,0.001726728701847747,0.0019682627544482414,0.32,0.0,1.0
"one_step",20260730,1.0,100,1,0.565003257566509,0.5210327050923692,0.6089738100406489,0.005333333333333333,0.0,0.9346666666666666
"one_step",20260730,0.1,1,1,2.865949134123002,2.862229793325763,2.8696684749202412,0.0,0.0,1.0
"one_step",20260730,0.1,100,1,3.2970998748553018,3.2736769607791376,3.320522788931466,0.0,0.0,0.02
"one_step",20260731,1.0,1,1,0.002000752065527124,0.0018791069579096552,0.0021223971731445922,0.2906666666666667,0.0,1.0
"one_step",20260731,1.0,100,1,0.595375569255298,0.5515642435144735,0.6391868949961225,0.0013333333333333333,0.0,0.9293333333333333
"one_step",20260731,0.1,1,1,2.863227157302737,2.859504207758658,2.8669501068468155,0.0,0.0,1.0
"one_step",20260731,0.1,100,1,3.3173301085691067,3.2948924234451358,3.3397677936930776,0.0,0.0,0.012
"one_step",20260732,1.0,1,1,0.0020385737726196125,0.0019096397451997087,0.0021675078000395163,0.268,0.0,1.0
"one_step",20260732,1.0,100,1,0.5910053764601918,0.547571526820858,0.6344392260995256,0.0,0.0,0.94
"one_step",20260732,0.1,1,1,2.864613374540458,2.8609893709878738,2.8682373780930424,0.0,0.0,1.0
"one_step",20260732,0.1,100,1,3.339509789515924,3.317374220136753,3.3616453588950947,0.0,0.0,0.017333333333333333
"large_radius_trajectory",20260730,1.0,100,0,3.1622776601683795,"","","","",""
"large_radius_trajectory",20260730,1.0,100,1,0.565003257566509,0.5210327050923692,0.6089738100406489,0.005333333333333333,0.0,0.9346666666666666
"large_radius_trajectory",20260730,1.0,100,2,0.20778336744283923,0.16290846492049582,0.25265826996518265,0.128,0.0,0.9466666666666667
"large_radius_trajectory",20260730,1.0,100,3,0.17619257862448898,0.12561590321470079,0.22676925403427717,0.2786666666666667,0.0,0.948
"large_radius_trajectory",20260730,1.0,100,4,0.17476214280060662,0.12222335345328003,0.2273009321479332,0.31733333333333336,0.0,0.948
"large_radius_trajectory",20260730,1.0,100,5,0.17356552337781128,0.12091377642111295,0.2262172703345096,0.31733333333333336,0.0,0.948
"large_radius_trajectory",20260731,1.0,100,0,3.16227766016838,"","","","",""
"large_radius_trajectory",20260731,1.0,100,1,0.595375569255298,0.5515642435144735,0.6391868949961225,0.0013333333333333333,0.0,0.9293333333333333
"large_radius_trajectory",20260731,1.0,100,2,0.21855982058329157,0.1727075731951975,0.2644120679713856,0.08266666666666667,0.0,0.9426666666666667
"large_radius_trajectory",20260731,1.0,100,3,0.18353900554606314,0.1319129569216523,0.23516505417047398,0.26,0.0,0.944
"large_radius_trajectory",20260731,1.0,100,4,0.18325664860560983,0.1299406420679664,0.23657265514325326,0.288,0.0,0.944
"large_radius_trajectory",20260731,1.0,100,5,0.1839164521907932,0.13020584559519915,0.23762705878638724,0.292,0.0,0.944
"large_radius_trajectory",20260732,1.0,100,0,3.16227766016838,"","","","",""
"large_radius_trajectory",20260732,1.0,100,1,0.5910053764601918,0.547571526820858,0.6344392260995256,0.0,0.0,0.94
"large_radius_trajectory",20260732,1.0,100,2,0.19260769022211358,0.15064826338202453,0.23456711706220262,0.09333333333333334,0.0,0.9626666666666667
"large_radius_trajectory",20260732,1.0,100,3,0.13908902208164192,0.0939719947913443,0.18420604937193955,0.22533333333333333,0.0,0.9626666666666667
"large_radius_trajectory",20260732,1.0,100,4,0.12679442356661136,0.08139978760560519,0.17218905952761754,0.25333333333333335,0.0,0.9626666666666667
"large_radius_trajectory",20260732,1.0,100,5,0.12715683732401856,0.0814523847897006,0.17286128985833651,0.2613333333333333,0.0,0.9626666666666667
