seed,dimension,count,query_index,query_w2,allowed_query_radius,log_error_upper,log_theorem_bound,bound_passed
20260730,100,13,0,0.1441153384245784,0.16012815380508713,-495.35545831725904,-0.7331685343967136,True
20260730,100,13,1,0.1441153384245784,0.16012815380508713,-521.8945661126128,-0.7331685343967136,True
20260730,100,13,2,0.1441153384245784,0.16012815380508713,-487.55883361997473,-0.7331685343967136,True
20260730,100,13,3,0.1441153384245784,0.16012815380508713,-532.7883022838985,-0.7331685343967136,True
20260730,100,13,4,0.1441153384245784,0.16012815380508713,-541.620929167467,-0.7331685343967136,True
20260730,100,13,5,0.1441153384245784,0.16012815380508713,-558.8601844981831,-0.7331685343967136,True
20260730,100,13,6,0.1441153384245784,0.16012815380508713,-543.7581015896535,-0.7331685343967136,True
20260730,100,13,7,0.1441153384245784,0.16012815380508713,-530.3809554725125,-0.7331685343967136,True
20260730,100,13,8,0.1441153384245784,0.16012815380508713,-488.2827353323548,-0.7331685343967136,True
20260730,100,13,9,0.1441153384245784,0.16012815380508713,-535.1960614341334,-0.7331685343967136,True
20260730,100,13,10,0.1441153384245784,0.16012815380508713,-541.089092659483,-0.7331685343967136,True
20260730,100,13,11,0.1441153384245784,0.16012815380508713,-530.2441658565913,-0.7331685343967136,True
20260730,100,13,12,0.1441153384245784,0.16012815380508713,-579.9595532641072,-0.7331685343967136,True
20260730,140,69,0,0.06255432421712244,0.06950480468569159,-719.0110428119237,-1.5677471079645748,True
20260730,140,69,1,0.06255432421712244,0.06950480468569159,-677.6127894001797,-1.5677471079645748,True
20260730,140,69,2,0.06255432421712244,0.06950480468569159,-714.3042476673988,-1.5677471079645748,True
20260730,140,69,3,0.06255432421712244,0.06950480468569159,-722.9915585273675,-1.5677471079645748,True
20260730,140,69,4,0.06255432421712244,0.06950480468569159,-704.3472807479618,-1.5677471079645748,True
20260730,140,69,5,0.06255432421712244,0.06950480468569159,-710.2746603971527,-1.5677471079645748,True
20260730,140,69,6,0.06255432421712244,0.06950480468569159,-727.5412062737238,-1.5677471079645748,True
20260730,140,69,7,0.06255432421712244,0.06950480468569159,-681.8489936103358,-1.5677471079645748,True
20260730,140,69,8,0.06255432421712244,0.06950480468569159,-663.9946107574721,-1.5677471079645748,True
20260730,140,69,9,0.06255432421712244,0.06950480468569159,-675.9515675394064,-1.5677471079645748,True
20260730,140,69,10,0.06255432421712244,0.06950480468569159,-704.3246514217569,-1.5677471079645748,True
20260730,140,69,11,0.06255432421712244,0.06950480468569159,-724.6576033038319,-1.5677471079645748,True
20260730,140,69,12,0.06255432421712244,0.06950480468569159,-714.3266834303017,-1.5677471079645748,True
20260730,140,69,13,0.06255432421712244,0.06950480468569159,-657.701269902031,-1.5677471079645748,True
20260730,140,69,14,0.06255432421712244,0.06950480468569159,-742.0042798666291,-1.5677471079645748,True
20260730,140,69,15,0.06255432421712244,0.06950480468569159,-761.4836494912848,-1.5677471079645748,True
20260730,140,69,16,0.06255432421712244,0.06950480468569159,-729.038558245286,-1.5677471079645748,True
20260730,140,69,17,0.06255432421712244,0.06950480468569159,-704.6514741202942,-1.5677471079645748,True
20260730,140,69,18,0.06255432421712244,0.06950480468569159,-736.3317321069463,-1.5677471079645748,True
20260730,140,69,19,0.06255432421712244,0.06950480468569159,-714.6859897586588,-1.5677471079645748,True
20260730,140,69,20,0.06255432421712244,0.06950480468569159,-682.1008390951464,-1.5677471079645748,True
20260730,140,69,21,0.06255432421712244,0.06950480468569159,-708.4817180730605,-1.5677471079645748,True
20260730,140,69,22,0.06255432421712244,0.06950480468569159,-730.2174347463583,-1.5677471079645748,True
